time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class
2,-1E-05,-4E-05,-2E-05,-2E-05,-1E-05,-1E-05,1E-05,-3E-05,0
6,-1E-05,-4E-05,-2E-05,-2E-05,-1E-05,-1E-05,1E-05,-3E-05,0
7,-1E-05,-4E-05,-2E-05,-2E-05,-1E-05,-1E-05,1E-05,-3E-05,0
8,-3E-05,-5E-05,-8E-05,-4E-05,-3E-05,0,-2E-05,0,0
9,-3E-05,-1E-05,0,1E-05,-1E-05,0,0,-2E-05,0
10,-3E-05,-1E-05,0,1E-05,-1E-05,0,0,-2E-05,0
11,-3E-05,-1E-05,0,1E-05,-1E-05,0,0,-2E-05,0
12,-3E-05,-1E-05,0,1E-05,-1E-05,0,0,-2E-05,0
13,-3E-05,-1E-05,0,1E-05,-1E-05,0,0,-2E-05,0
14,-3E-05,-1E-05,0,1E-05,-1E-05,0,0,-2E-05,0
15,-3E-05,-1E-05,0,1E-05,-1E-05,0,0,-2E-05,0
16,-3E-05,-1E-05,0,1E-05,-1E-05,0,0,-2E-05,0
17,-3E-05,-1E-05,0,1E-05,-1E-05,0,0,-2E-05,0
18,-3E-05,-1E-05,0,1E-05,-1E-05,0,0,-2E-05,0
19,-3E-05,-1E-05,0,1E-05,-1E-05,0,0,-2E-05,0
20,-3E-05,-1E-05,0,1E-05,-1E-05,0,0,-2E-05,0
21,-3E-05,-1E-05,0,1E-05,-1E-05,0,0,-2E-05,0
22,-3E-05,-1E-05,0,1E-05,-1E-05,0,0,-2E-05,0
23,-3E-05,-1E-05,0,1E-05,-1E-05,0,0,-2E-05,0
24,-3E-05,-1E-05,0,1E-05,-1E-05,0,0,-2E-05,0
25,-3E-05,-1E-05,0,1E-05,-1E-05,0,0,-2E-05,0
26,-3E-05,-1E-05,0,1E-05,-1E-05,0,0,-2E-05,0
27,-3E-05,-1E-05,0,1E-05,-1E-05,0,0,-2E-05,0
28,-3E-05,-1E-05,0,1E-05,-1E-05,0,0,-2E-05,0
30,-3E-05,-1E-05,0,1E-05,-1E-05,0,0,-2E-05,0
31,-3E-05,-1E-05,0,1E-05,-1E-05,0,0,-2E-05,0
33,-3E-05,-1E-05,0,1E-05,-1E-05,0,0,-2E-05,0
